"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","01-Jan-2020","       1272.10","       1276.10","       1280.00","       1270.60","       1279.00","       1278.60","       1276.64","    1836849","          2345000988.70","      46625","     809152","         44.05"
"HDFCBANK","EQ","02-Jan-2020","       1278.60","       1279.00","       1288.00","       1279.00","       1286.00","       1286.75","       1284.56","    3068583","          3941791536.35","     104570","    1957617","         63.80"
"HDFCBANK","EQ","03-Jan-2020","       1286.75","       1282.20","       1285.00","       1263.60","       1268.50","       1268.40","       1270.48","    5427775","          6895885753.85","     157066","    3459267","         63.73"
"HDFCBANK","EQ","06-Jan-2020","       1268.40","       1260.00","       1261.80","       1236.00","       1240.25","       1240.95","       1247.24","    5445093","          6791347831.05","     155007","    3647637","         66.99"
"HDFCBANK","EQ","07-Jan-2020","       1240.95","       1258.90","       1271.45","       1252.25","       1261.00","       1260.60","       1261.48","    7362247","          9287301543.65","     189026","    3790730","         51.49"
"HDFCBANK","EQ","08-Jan-2020","       1260.60","       1246.95","       1262.15","       1240.05","       1256.00","       1257.30","       1253.71","    5666055","          7103612130.00","     141795","    3549321","         62.64"
"HDFCBANK","EQ","09-Jan-2020","       1257.30","       1265.00","       1275.80","       1263.10","       1271.80","       1271.40","       1271.27","    4773158","          6067965129.35","     125829","    2650051","         55.52"
"HDFCBANK","EQ","10-Jan-2020","       1271.40","       1284.10","       1286.90","       1275.10","       1281.00","       1282.70","       1282.11","    4607290","          5907037339.20","     123583","    2857227","         62.02"
"HDFCBANK","EQ","13-Jan-2020","       1282.70","       1282.70","       1296.50","       1276.00","       1287.00","       1286.00","       1289.33","    3725784","          4803755674.70","     107121","    2215612","         59.47"
"HDFCBANK","EQ","14-Jan-2020","       1286.00","       1289.00","       1292.55","       1277.50","       1288.00","       1289.50","       1284.81","    3943145","          5066203793.15","      91722","    2573348","         65.26"
"HDFCBANK","EQ","15-Jan-2020","       1289.50","       1286.40","       1287.95","       1274.10","       1285.05","       1284.25","       1280.62","    5893724","          7547649403.30","     105548","    3970136","         67.36"
"HDFCBANK","EQ","16-Jan-2020","       1284.25","       1282.05","       1291.00","       1279.35","       1287.50","       1287.65","       1285.32","    3575200","          4595266982.80","      93131","    2251808","         62.98"
"HDFCBANK","EQ","17-Jan-2020","       1287.65","       1281.75","       1284.90","       1271.90","       1277.40","       1278.15","       1277.38","    8459407","         10805901963.60","     136379","    6692529","         79.11"
"HDFCBANK","EQ","20-Jan-2020","       1278.15","       1304.85","       1304.85","       1252.50","       1257.35","       1254.90","       1265.00","   11089225","         14027827939.05","     245672","    5796841","         52.27"
"HDFCBANK","EQ","21-Jan-2020","       1254.90","       1250.00","       1250.00","       1238.40","       1244.90","       1244.35","       1244.14","    7492402","          9321621104.55","     216589","    4587266","         61.23"
"HDFCBANK","EQ","22-Jan-2020","       1244.35","       1248.05","       1255.00","       1234.40","       1241.85","       1240.85","       1243.37","    9184155","         11419277034.85","     146555","    6562205","         71.45"
"HDFCBANK","EQ","23-Jan-2020","       1240.85","       1240.00","       1246.85","       1231.00","       1245.35","       1244.85","       1240.93","    5754460","          7140906437.50","     176401","    3535947","         61.45"
"HDFCBANK","EQ","24-Jan-2020","       1244.85","       1246.00","       1254.00","       1239.10","       1245.80","       1244.55","       1247.28","    5915878","          7378771197.30","     138884","    3935384","         66.52"
"HDFCBANK","EQ","27-Jan-2020","       1244.55","       1235.00","       1235.00","       1211.75","       1213.50","       1213.20","       1220.97","    9444276","         11531192819.45","     268331","    6145074","         65.07"
"HDFCBANK","EQ","28-Jan-2020","       1213.20","       1218.80","       1227.80","       1213.25","       1223.10","       1223.20","       1221.37","    6706079","          8190599143.00","     219199","    3712912","         55.37"
"HDFCBANK","EQ","29-Jan-2020","       1223.20","       1225.30","       1242.00","       1222.25","       1235.80","       1235.85","       1235.01","    6894175","          8514372123.25","     155174","    4588335","         66.55"
"HDFCBANK","EQ","30-Jan-2020","       1235.85","       1238.95","       1238.95","       1217.20","       1227.90","       1226.05","       1224.75","    6055992","          7417090655.15","     195593","    3937675","         65.02"
"HDFCBANK","EQ","31-Jan-2020","       1226.05","       1231.45","       1237.80","       1220.25","       1224.25","       1226.30","       1230.24","    5589134","          6876000868.35","     169641","    3563738","         63.76"
"HDFCBANK","EQ","01-Feb-2020","       1226.30","       1220.00","       1227.70","       1191.35","       1192.50","       1198.70","       1210.20","    4913643","          5946467662.40","     132683","    2536143","         51.61"
"HDFCBANK","EQ","03-Feb-2020","       1198.70","       1197.00","       1197.95","       1177.70","       1194.00","       1192.80","       1188.67","    6538505","          7772096364.25","     251382","    4024345","         61.55"
"HDFCBANK","EQ","04-Feb-2020","       1192.80","       1198.00","       1234.00","       1198.00","       1229.00","       1229.80","       1222.00","   10448852","         12768529290.90","     173447","    6900844","         66.04"
"HDFCBANK","EQ","05-Feb-2020","       1229.80","       1234.90","       1248.00","       1227.30","       1246.00","       1244.65","       1237.42","    9010341","         11149564568.10","     150882","    6955471","         77.19"
"HDFCBANK","EQ","06-Feb-2020","       1244.65","       1244.65","       1248.70","       1237.20","       1239.95","       1239.80","       1242.01","    5913775","          7344982424.55","     126190","    3640808","         61.56"
"HDFCBANK","EQ","07-Feb-2020","       1239.80","       1246.00","       1247.00","       1231.60","       1240.00","       1242.20","       1238.21","    3407724","          4219486810.85","      81299","    2193596","         64.37"
"HDFCBANK","EQ","10-Feb-2020","       1242.20","       1242.95","       1242.95","       1226.05","       1240.95","       1240.30","       1235.68","    4609917","          5696388107.65","     105140","    3208623","         69.60"
"HDFCBANK","EQ","11-Feb-2020","       1240.30","       1243.30","       1255.00","       1238.05","       1239.90","       1240.60","       1246.80","    5806760","          7239873153.45","      98063","    3770138","         64.93"
"HDFCBANK","EQ","12-Feb-2020","       1240.60","       1245.20","       1252.90","       1244.05","       1249.00","       1249.00","       1249.42","    3148965","          3934383166.55","      87413","    2114375","         67.15"
"HDFCBANK","EQ","13-Feb-2020","       1249.00","       1259.90","       1259.90","       1233.60","       1239.50","       1241.40","       1241.95","    4556070","          5658432160.20","      97099","    2850913","         62.57"
"HDFCBANK","EQ","14-Feb-2020","       1241.40","       1243.20","       1248.40","       1215.00","       1219.45","       1219.35","       1227.78","    7344429","          9017358547.30","     167779","    4783189","         65.13"
"HDFCBANK","EQ","17-Feb-2020","       1219.35","       1225.00","       1233.00","       1214.45","       1218.00","       1217.15","       1221.46","    5076345","          6200535024.85","     157333","    3075780","         60.59"
"HDFCBANK","EQ","18-Feb-2020","       1217.15","       1216.90","       1218.50","       1203.50","       1217.05","       1213.25","       1209.57","    5264558","          6367872772.45","     119172","    3704300","         70.36"
"HDFCBANK","EQ","19-Feb-2020","       1213.25","       1222.50","       1230.00","       1213.90","       1227.20","       1227.20","       1221.68","    5006134","          6115909249.10","     101692","    3444477","         68.81"
"HDFCBANK","EQ","20-Feb-2020","       1227.20","       1230.00","       1230.00","       1214.10","       1217.00","       1217.10","       1221.38","    5561707","          6792970359.70","     146273","    3240543","         58.27"
"HDFCBANK","EQ","24-Feb-2020","       1217.10","       1208.95","       1214.75","       1200.00","       1210.25","       1209.95","       1205.66","    8284042","          9987753564.30","     199969","    6242053","         75.35"
"HDFCBANK","EQ","25-Feb-2020","       1209.95","       1204.00","       1209.00","       1198.00","       1201.80","       1200.30","       1201.07","    6943340","          8339458217.80","     193249","    5185085","         74.68"
"HDFCBANK","EQ","26-Feb-2020","       1200.30","       1197.50","       1204.70","       1185.65","       1201.10","       1199.25","       1195.09","    6907393","          8254956318.75","     191519","    4691104","         67.91"
"HDFCBANK","EQ","27-Feb-2020","       1199.25","       1195.00","       1202.50","       1181.00","       1199.65","       1199.45","       1191.25","   10327549","         12302665880.20","     241038","    6138007","         59.43"
"HDFCBANK","EQ","28-Feb-2020","       1199.45","       1175.50","       1185.00","       1170.10","       1178.80","       1177.65","       1176.25","   12156528","         14299167014.40","     276737","    8662385","         71.26"
"HDFCBANK","EQ","02-Mar-2020","       1177.65","       1200.20","       1201.15","       1166.15","       1185.00","       1179.60","       1184.61","    7332449","          8686077365.55","     197905","    4540186","         61.92"
"HDFCBANK","EQ","03-Mar-2020","       1179.60","       1175.00","       1185.35","       1168.00","       1182.50","       1181.80","       1178.14","   11184775","         13177181997.65","     233028","    7497411","         67.03"
"HDFCBANK","EQ","04-Mar-2020","       1181.80","       1178.35","       1180.00","       1133.10","       1149.15","       1148.85","       1152.73","   17144435","         19762846784.70","     503032","   11834147","         69.03"
"HDFCBANK","EQ","05-Mar-2020","       1148.85","       1153.00","       1165.00","       1142.75","       1149.00","       1151.35","       1155.77","    9774854","         11297450389.35","     262470","    5681138","         58.12"
"HDFCBANK","EQ","06-Mar-2020","       1151.35","       1125.00","       1140.90","       1101.00","       1134.00","       1134.90","       1124.34","   11526783","         12959999027.40","     272373","    6744175","         58.51"
"HDFCBANK","EQ","09-Mar-2020","       1134.90","       1110.00","       1118.40","       1065.00","       1112.00","       1107.30","       1094.80","   17210297","         18841871874.25","     427518","   11111864","         64.57"
"HDFCBANK","EQ","11-Mar-2020","       1107.30","       1105.00","       1120.00","       1092.00","       1110.00","       1113.80","       1105.77","   17769198","         19648640086.25","     344285","   12492811","         70.31"
"HDFCBANK","EQ","12-Mar-2020","       1113.80","       1075.00","       1080.00","       1003.45","       1032.00","       1021.30","       1036.26","   29500406","         30570004192.95","     503472","   18695622","         63.37"
"HDFCBANK","EQ","13-Mar-2020","       1021.30","        980.05","       1081.45","        919.20","       1074.00","       1069.80","       1018.30","   33171603","         33778614285.40","     541649","   18672328","         56.29"
"HDFCBANK","EQ","16-Mar-2020","       1069.80","       1035.00","       1037.00","        995.00","       1001.25","        999.50","       1013.09","   15993174","         16202484604.30","     430742","    9357160","         58.51"
"HDFCBANK","EQ","17-Mar-2020","        999.50","       1008.00","       1010.00","        954.70","        976.20","        975.10","        982.62","   21338641","         20967841371.15","     447922","   11352389","         53.20"
"HDFCBANK","EQ","18-Mar-2020","        975.10","        985.00","        993.00","        865.00","        898.50","        876.90","        916.25","   30593809","         28031432118.60","     652391","   18513396","         60.51"
"HDFCBANK","EQ","19-Mar-2020","        876.90","        847.00","        919.95","        795.00","        904.60","        895.55","        857.03","   33610239","         28805078999.25","     632617","   16243587","         48.33"
"HDFCBANK","EQ","20-Mar-2020","        895.55","        875.00","        914.60","        824.55","        881.25","        882.85","        868.05","   44319015","         38471082495.00","     790631","   18885164","         42.61"
"HDFCBANK","EQ","23-Mar-2020","        882.85","        794.60","        838.75","        765.00","        778.90","        771.55","        784.50","   25142273","         19724138348.90","     590210","   15218583","         60.53"
"HDFCBANK","EQ","24-Mar-2020","        771.55","        795.25","        810.00","        738.75","        774.80","        767.70","        775.82","   30528676","         23684712047.25","     634897","   15424639","         50.53"
"HDFCBANK","EQ","25-Mar-2020","        767.70","        770.45","        867.45","        755.25","        863.00","        856.75","        803.92","   23614449","         18984055133.70","     608039","   10925368","         46.27"
"HDFCBANK","EQ","26-Mar-2020","        856.75","        870.10","        937.70","        841.00","        898.00","        901.10","        898.62","   28521681","         25630140172.80","     627160","   12010671","         42.11"
"HDFCBANK","EQ","27-Mar-2020","        901.10","        944.95","        988.65","        872.10","        900.00","        904.45","        923.14","   27619436","         25496667368.35","     651440","    9442614","         34.19"
"HDFCBANK","EQ","30-Mar-2020","        904.45","        880.00","        887.00","        828.00","        831.00","        831.65","        858.48","   19634313","         16855655095.40","     491743","    9022080","         45.95"
"HDFCBANK","EQ","31-Mar-2020","        831.65","        853.80","        873.60","        838.00","        857.95","        861.90","        854.73","   17605997","         15048445041.15","     411360","    8065907","         45.81"
"HDFCBANK","EQ","01-Apr-2020","        861.90","        863.85","        863.85","        820.00","        829.55","        829.65","        831.99","   14551758","         12106933301.25","     354947","    5957515","         40.94"
"HDFCBANK","EQ","03-Apr-2020","        829.65","        843.00","        844.00","        810.00","        811.00","        813.85","        825.26","   17499063","         14441317976.20","     392455","    8690196","         49.66"
"HDFCBANK","EQ","07-Apr-2020","        813.85","        874.00","        907.30","        845.35","        895.80","        896.10","        871.57","   30206626","         26327315325.80","     475198","   17083041","         56.55"
"HDFCBANK","EQ","08-Apr-2020","        896.10","        879.95","        945.00","        866.10","        888.70","        888.90","        902.09","   28109877","         25357609084.60","     503019","   11952742","         42.52"
"HDFCBANK","EQ","09-Apr-2020","        888.90","        913.00","        930.90","        890.00","        922.10","        925.05","        913.38","   22229012","         20303462865.40","     417910","    7759278","         34.91"
"HDFCBANK","EQ","13-Apr-2020","        925.05","        934.00","        946.70","        886.20","        897.80","        895.35","        907.82","   17079259","         15504828498.50","     389148","    6261962","         36.66"
"HDFCBANK","EQ","15-Apr-2020","        895.35","        930.50","        930.50","        843.00","        865.15","        863.30","        885.42","   28989523","         25667931187.70","     517354","   13261188","         45.74"
"HDFCBANK","EQ","16-Apr-2020","        863.30","        865.00","        890.70","        856.25","        884.25","        879.75","        870.76","   26927231","         23447030480.50","     467724","   12899088","         47.90"
"HDFCBANK","EQ","17-Apr-2020","        879.75","        915.00","        920.00","        887.25","        915.10","        910.30","        906.63","   27941831","         25333029144.80","     453652","   13482185","         48.25"
"HDFCBANK","EQ","20-Apr-2020","        910.30","        951.00","        960.95","        935.00","        943.30","        944.85","        945.70","   33116614","         31318495817.80","     555965","   13530602","         40.86"
"HDFCBANK","EQ","21-Apr-2020","        944.85","        925.00","        934.00","        908.00","        919.15","        921.65","        922.24","   16589148","         15299196199.55","     291815","    7314644","         44.09"
"HDFCBANK","EQ","22-Apr-2020","        921.65","        919.15","        933.00","        907.30","        929.75","        928.60","        920.24","   19144678","         17617671415.90","     258479","   10177427","         53.16"
"HDFCBANK","EQ","23-Apr-2020","        928.60","        935.00","        958.50","        912.55","        952.10","        954.95","        939.81","   20450895","         19219911302.15","     424855","    9826569","         48.05"
"HDFCBANK","EQ","24-Apr-2020","        954.95","        933.00","        958.40","        926.00","        937.00","        938.05","        938.02","   16642831","         15611268244.20","     293787","    8000341","         48.07"
"HDFCBANK","EQ","27-Apr-2020","        938.05","        945.15","        957.40","        926.30","        929.95","        929.70","        941.28","   13710727","         12905669876.50","     266336","    6056487","         44.17"
"HDFCBANK","EQ","28-Apr-2020","        929.70","        943.80","        943.80","        922.00","        933.30","        931.40","        930.50","   14720773","         13697606349.35","     239400","    6302095","         42.81"
"HDFCBANK","EQ","29-Apr-2020","        931.40","        935.00","        992.70","        934.10","        970.05","        977.10","        964.08","   27939019","         26935417994.95","     450180","   10960329","         39.23"
"HDFCBANK","EQ","30-Apr-2020","        977.10","       1001.40","       1019.00","        992.10","       1000.00","       1001.80","       1006.05","   21897643","         22030130436.10","     451072","    8534959","         38.98"
"HDFCBANK","EQ","04-May-2020","       1001.80","        957.50","        960.00","        917.50","        924.90","        923.00","        932.42","   13361177","         12458166946.10","     383166","    6246738","         46.75"
"HDFCBANK","EQ","05-May-2020","        923.00","        938.00","        944.00","        908.05","        914.50","        911.45","        928.05","   14837190","         13769583591.90","     298424","    4848835","         32.68"
"HDFCBANK","EQ","06-May-2020","        911.45","        919.00","        950.00","        905.65","        946.55","        946.40","        936.39","   16893140","         15818501983.40","     310813","    4169602","         24.68"
"HDFCBANK","EQ","07-May-2020","        946.40","        940.50","        943.30","        921.35","        927.30","        925.00","        930.31","   10916003","         10155309605.55","     226640","    3399155","         31.14"
"HDFCBANK","EQ","08-May-2020","        925.00","        942.00","        943.95","        925.20","        930.00","        929.05","        932.46","   10403747","          9701068994.85","     176643","    3723731","         35.79"
"HDFCBANK","EQ","11-May-2020","        929.05","        937.00","        954.00","        914.00","        915.90","        915.80","        934.32","   14275392","         13337759315.60","     316129","    5926950","         41.52"
"HDFCBANK","EQ","12-May-2020","        915.80","        901.00","        909.40","        871.10","        902.50","        901.55","        888.33","   24784324","         22016571132.50","     516512","    9460568","         38.17"
"HDFCBANK","EQ","13-May-2020","        901.55","        951.00","        960.00","        922.10","        928.95","        927.65","        938.46","   22173554","         20809009862.75","     396148","    9094925","         41.02"
"HDFCBANK","EQ","14-May-2020","        927.65","        898.00","        911.00","        890.00","        893.85","        893.70","        899.79","   19777445","         17795529260.15","     364023","    8394283","         42.44"
"HDFCBANK","EQ","15-May-2020","        893.70","        890.50","        892.40","        875.00","        888.00","        888.15","        885.00","   12174870","         10774797134.75","     280499","    4280446","         35.16"
"HDFCBANK","EQ","18-May-2020","        888.15","        888.00","        888.00","        831.30","        838.00","        836.65","        847.83","   23326656","         19776954026.30","     533951","   10660724","         45.70"
